COUNTRY,TITLE,DESC,DATE,SECTOR,THTYPE,NOTE,NOTE2,YEAR,,,,
UK,UK: Police officer faces jail after gaining unauthorized access to information on Leicestershire Police force computers,"Suzy Gibson‘_reports: A police officer who gained unauthorised access to information on force computers could be facing a jail sentence. PC Andrew Clay, 50, appeared at Leicester Crown Court to plead guilty to six charges of securing unauthorised access to computer material, between September 2002 and March 2013. Five counts relate to seeking information about <a href='https://www.databreaches.net/uk-police-officer-faces-jail-after-gaining-unauthorized-access-to-information-on-leicestershire-police-force-computers/' class='excerpt-more'>[...]</a>","Sun, 01 Mar 2015 00:56:47 +0000",Government Sector,Insider,,,2015,,,,
US,Cyber angst: Orange County companies zero in on data breaches,"Margot Roosevelt reports: Last year, according to the Mount Olympus Mortgage Co. in Irvine, several of its officers secretly downloaded confidential information on hundreds of loan customers and transferred five gigabytes of data to a competitor. The loan officers then deleted files and emails on their computers and went to work for‘_that‘_rival, Chicago-based lender Guaranteed <a href='https://www.databreaches.net/cyber-angst-orange-county-companies-zero-in-on-data-breaches/' class='excerpt-more'>[...]</a>","Sun, 01 Mar 2015 00:51:49 +0000",Financial Sector,Insider,,,2015,,,,
US,Feds investigating $1.7M possibly stolen from Centra credit union,"Ashley Walter reports: Federal authorities are investigating the possible theft of $1.7 million from Centra&#8216;s credit union. [&#8230;] Since the investigation began in early January, the credit union manager and two other employees of the credit union have been on unpaid, administrative leave and still are. Read more on The News &#38; Advance.","Sat, 28 Feb 2015 21:37:13 +0000",Uncategorized,,,,2015,,,,
US,PA: Benecard employees say data breach made them victims of tax refund fraud,"Barbara Miller reports: A class action lawsuit filed Feb. 26 claims prescription benefit company Benecard Services Inc., which has an office in Mechanicsburg, failed to notify former employees and customers of a recent data breach. The suit, filed in US. Middle District Court by Harrisburg attorney Benjamin Andreozzi, is on behalf of five former employees <a href='https://www.databreaches.net/pa-benecard-employees-say-data-breach-made-them-victims-of-tax-refund-fraud/' class='excerpt-more'>[...]</a>","Sat, 28 Feb 2015 20:45:09 +0000",Health Data,ID Theft,,,2015,,,,
US,"FORK ME! Uber hauls GitHub into court to find who hacked database of 50,000 drivers",Kieren McCarthy reports: Uber has subpoenaed GitHub to unmask netizens suspected of hacking its database of taxi drivers. The ride-booking app maker is trying to‘_force GitHub [PDF]‘_to hand over the IP addresses of anyone who visited a particular gist post between March and September last year. That gist is believed to have contained a login <a href='https://www.databreaches.net/fork-me-uber-hauls-github-into-court-to-find-who-hacked-database-of-50000-drivers/' class='excerpt-more'>[...]</a>,"Sat, 28 Feb 2015 14:30:52 +0000",Business Sector,Hack,Of Note,,2015,,,,
US,Two Wyoming Bills Amending the State_„_s Breach Notification Statute Are Headed to the Governor,"Hunton &#38; Williams write: On February 23, 2015, the Wyoming Senate approved a‘_bill‘_(S.F.36) that adds several data elements to the definition of _„ñpersonal identifying information_„ù in the state_„_s data breach notification statute. The amended definition will expand Wyoming_„_s breach notification law to cover certain online account access credentials, unique biometric data, health insurance information, medical <a href='https://www.databreaches.net/two-wyoming-bills-amending-the-states-breach-notification-statute-are-headed-to-the-governor/' class='excerpt-more'>[...]</a>","Sat, 28 Feb 2015 14:21:55 +0000",Of Note,State/Local,,,2015,,,,
US,"_„ñWe take the privacy and security of your information very seriously,_„ù Saturday edition","I&#8217;ve been known to get a tad snarky about breach notification letters that begin with how the breached entity takes the privacy and security of our information seriously. ‘_Sadly, that line seems to have become‘_a‘_pro forma part of breach notices. Yesterday, though,‘_I read a breach notification from‘_Piedmont Advantage Credit Union‘_about a missing laptop with customer <a href='https://www.databreaches.net/we-take-the-privacy-and-security-of-your-information-very-seriously-saturday-edition/' class='excerpt-more'>[...]</a>","Sat, 28 Feb 2015 13:22:46 +0000",Commentaries and Analyses,,,,2015,,,,
US,All in the family: Three Milwaukee sisters face 90 felony charges for filing fraudulent tax returns,Ashley Sears reports on a tax refund fraud scheme that included using the identity information of prisoners in the Mississippi prison system: Three sisters from the Milwaukee area are facing a total of 90 felony charges for filing fraudulent income tax returns following a two-year investigation by the Wisconsin Department of Revenue_„_s (DOR) Criminal Investigation <a href='https://www.databreaches.net/all-in-the-family-three-milwaukee-sisters-face-90-felony-charges-for-filing-fraudulent-tax-returns/' class='excerpt-more'>[...]</a>,"Sat, 28 Feb 2015 13:09:23 +0000",ID Theft,,,,2015,,,,
US,TX: Socorro Independent School District student charged with breach of the district_„_s computer system,"Ashleigh Rodriguez reports: The Socorro Independent School District spent $8,000 this weekend, cleaning up a number of Eastlake High computers. A student downloaded malware, or a malicious program to the school&#8217;s computer system. [&#8230;] After spending the weekend checking 1,000 computers, they found out he had only infected 16. Reyna said he was attempting to <a href='https://www.databreaches.net/tx-socorro-independent-school-district-student-charged-with-breach-of-the-districts-computer-system/' class='excerpt-more'>[...]</a>","Fri, 27 Feb 2015 22:43:17 +0000",Education Sector,Insider,Malware,,2015,,,,
US,AZ: Court clerk: Security breach affects hundreds of court cases,"Raquel Hendrickson reports: _„ñA severe dereliction of duty_„ù is what Clerk of the Superior Court Amanda Stanford is calling a reported security breach that could impact hundreds of criminal cases in Pinal County. Stanford is alleging her predecessor, Chad Roche, gave the county attorney_„_s office access to files that had been sealed by the court. <a href='https://www.databreaches.net/az-court-clerk-security-breach-affects-hundreds-of-court-cases/' class='excerpt-more'>[...]</a>","Fri, 27 Feb 2015 22:34:54 +0000",Exposure,Government Sector,,,2015,,,,
