?Threat Description,Malware
"Suzy Gibsonÿreports: A police officer who gained unauthorised access to information on force computers could be facing a jail sentence. PC Andrew Clay, 50, appeared at Leicester Crown Court to plead guilty to six charges of securing unauthorised access to computer material, between September 2002 and March 2013. Five counts relate to seeking information about <a href='https://www.databreaches.net/uk-police-officer-faces-jail-after-gaining-unauthorized-access-to-information-on-leicestershire-police-force-computers/' class='excerpt-more'>[...]</a>",IdentityThreat
"Margot Roosevelt reports: Last year, according to the Mount Olympus Mortgage Co. in Irvine, several of its officers secretly downloaded confidential information on hundreds of loan customers and transferred five gigabytes of data to a competitor. The loan officers then deleted files and emails on their computers and went to work forÿthatÿrival, Chicago-based lender Guaranteed <a href='https://www.databreaches.net/cyber-angst-orange-county-companies-zero-in-on-data-breaches/' class='excerpt-more'>[...]</a>",InsiderThreat
"Ashley Walter reports: Federal authorities are investigating the possible theft of $1.7 million from Centra&#8216;s credit union. [&#8230;] Since the investigation began in early January, the credit union manager and two other employees of the credit union have been on unpaid, administrative leave and still are. Read more on The News &#38; Advance.",IdentityThreat
"Barbara Miller reports: A class action lawsuit filed Feb. 26 claims prescription benefit company Benecard Services Inc., which has an office in Mechanicsburg, failed to notify former employees and customers of a recent data breach. The suit, filed in U.S. Middle District Court by Harrisburg attorney Benjamin Andreozzi, is on behalf of five former employees <a href='https://www.databreaches.net/pa-benecard-employees-say-data-breach-made-them-victims-of-tax-refund-fraud/' class='excerpt-more'>[...]</a>",IdentityThreat
Kieren McCarthy reports: Uber has subpoenaed GitHub to unmask netizens suspected of hacking its database of taxi drivers. The ride-booking app maker is trying toÿforce GitHub [PDF]ÿto hand over the IP addresses of anyone who visited a particular gist post between March and September last year. That gist is believed to have contained a login <a href='https://www.databreaches.net/fork-me-uber-hauls-github-into-court-to-find-who-hacked-database-of-50000-drivers/' class='excerpt-more'>[...]</a>,IdentityThreat
"Hunton &#38; Williams write: On February 23, 2015, the Wyoming Senate approved aÿbillÿ(S.F.36) that adds several data elements to the definition of ?personal identifying information? in the state?s data breach notification statute. The amended definition will expand Wyoming?s breach notification law to cover certain online account access credentials, unique biometric data, health insurance information, medical <a href='https://www.databreaches.net/two-wyoming-bills-amending-the-states-breach-notification-statute-are-headed-to-the-governor/' class='excerpt-more'>[...]</a>",IdentityThreat
"I&#8217;ve been known to get a tad snarky about breach notification letters that begin with how the breached entity takes the privacy and security of our information seriously. ÿSadly, that line seems to have becomeÿaÿpro forma part of breach notices. Yesterday, though,ÿI read a breach notification fromÿPiedmont Advantage Credit Unionÿabout a missing laptop with customer <a href='https://www.databreaches.net/we-take-the-privacy-and-security-of-your-information-very-seriously-saturday-edition/' class='excerpt-more'>[...]</a>",IdentityThreat
Ashley Sears reports on a tax refund fraud scheme that included using the identity information of prisoners in the Mississippi prison system: Three sisters from the Milwaukee area are facing a total of 90 felony charges for filing fraudulent income tax returns following a two-year investigation by the Wisconsin Department of Revenue?s (DOR) Criminal Investigation <a href='https://www.databreaches.net/all-in-the-family-three-milwaukee-sisters-face-90-felony-charges-for-filing-fraudulent-tax-returns/' class='excerpt-more'>[...]</a>,IdentityThreat
"Ashleigh Rodriguez reports: The Socorro Independent School District spent $8,000 this weekend, cleaning up a number of Eastlake High computers. A student downloaded malware, or a malicious program to the school&#8217;s computer system. [&#8230;] After spending the weekend checking 1,000 computers, they found out he had only infected 16. Reyna said he was attempting to <a href='https://www.databreaches.net/tx-socorro-independent-school-district-student-charged-with-breach-of-the-districts-computer-system/' class='excerpt-more'>[...]</a>",IdentityThreat
"Raquel Hendrickson reports: ?A severe dereliction of duty? is what Clerk of the Superior Court Amanda Stanford is calling a reported security breach that could impact hundreds of criminal cases in Pinal County. Stanford is alleging her predecessor, Chad Roche, gave the county attorney?s office access to files that had been sealed by the court. <a href='https://www.databreaches.net/az-court-clerk-security-breach-affects-hundreds-of-court-cases/' class='excerpt-more'>[...]</a>",IdentityThreat
